timestamp,cloud_cover,temperature,humidity,wind_speed,wind_direction,visibility,bz_gsm,by_gsm,flow_speed,proton_density,ey,kp10,dst,f107,ae,al
2023-01-01 00:00:00,8.0,0.0,99.0,3.8,131.0,2160.0,0.4,2.4,603.0,1.68,-0.24,23,-23,147.5,132,-73
2023-01-01 01:00:00,8.0,0.0,99.0,3.4,146.0,3516.0,0.5,2.6,582.0,1.74,-0.29,23,-21,147.5,97,-45
2023-01-01 02:00:00,8.0,-0.2,99.0,3.8,203.0,2544.0,1.2,2.6,581.0,1.72,-0.7,23,-23,147.5,133,-71
2023-01-01 03:00:00,9.0,-0.5,99.0,2.8,239.0,1132.0,0.6,2.4,576.0,1.57,-0.35,30,-26,147.5,180,-101
2023-01-01 04:00:00,9.0,-0.4,99.0,3.1,250.0,2014.0,1.0,2.5,585.0,1.68,-0.58,30,-26,147.5,139,-46
2023-01-01 05:00:00,8.0,-0.4,99.0,4.3,264.0,2973.0,1.7,2.5,569.0,1.58,-0.97,30,-23,147.5,55,-17
2023-01-01 06:00:00,8.0,-1.1,98.0,5.2,274.0,5446.0,0.2,2.3,548.0,1.35,-0.11,20,-19,147.5,95,-57
2023-01-01 07:00:00,8.0,-1.5,98.0,5.3,280.0,3091.0,1.0,2.2,543.0,1.28,-0.54,20,-17,147.5,243,-175
2023-01-01 08:00:00,8.0,-1.9,97.0,4.7,278.0,5796.0,0.7,2.4,553.0,1.43,-0.39,20,-16,147.5,141,-85
2023-01-01 09:00:00,8.0,-2.1,97.0,4.4,280.0,7921.0,-2.0,2.4,559.0,1.44,1.12,27,-15,147.5,227,-162
2023-01-01 10:00:00,8.0,-2.0,97.0,3.9,270.0,2924.0,0.6,2.3,546.0,1.29,-0.33,27,-19,147.5,458,-358
2023-01-01 11:00:00,8.0,-2.0,97.0,4.6,284.0,1627.0,2.6,2.4,541.0,1.4,-1.41,27,-19,147.5,147,-82
2023-01-01 12:00:00,8.0,-1.8,97.0,6.2,301.0,8057.0,-0.2,2.4,535.0,1.38,0.11,17,-17,147.5,42,-18
2023-01-01 13:00:00,8.0,-2.2,97.0,4.7,321.0,1017.0,-0.7,2.7,537.0,1.54,0.38,17,-16,147.5,82,-61
2023-01-01 14:00:00,8.0,-2.4,97.0,2.9,309.0,1334.0,-1.0,2.6,539.0,1.46,0.54,17,-20,147.5,153,-122
2023-01-01 15:00:00,8.0,-1.3,96.0,7.9,315.0,2300.0,-0.3,2.6,522.0,1.38,0.16,27,-18,147.5,375,-325
2023-01-01 16:00:00,8.0,-1.8,93.0,5.4,309.0,69155.0,-0.2,2.7,515.0,1.42,0.1,27,-19,147.5,200,-151
2023-01-01 17:00:00,8.0,-2.0,93.0,4.8,299.0,71331.0,-1.6,2.9,525.0,1.59,0.84,27,-16,147.5,176,-153
